Register_date;IP_addr;UID;Gender;Age_group;Education_group;Ethnic_group;lineupID;suspectID;Lineup_generator;selectedCandidate;correct;Time_to_decision
2018-02-16 13:07:28.185000;92.62.225.163;332163;F;40;uni;white;3;10301206130703;0;10301206130703;TRUE;59.8039999008179
2018-02-16 13:07:28.185000;92.62.225.163;332163;F;40;uni;white;4;13430524130707;2;20340502110704;FALSE;53.2550001144409
2018-02-16 13:07:28.185000;92.62.225.163;332163;F;40;uni;white;5;8121007141903;3;8121007141903;TRUE;41.8499999046326
2018-02-16 13:07:28.185000;92.62.225.163;332163;F;40;uni;white;6;8300518161902;0;8300518161902;TRUE;23.0130000114441
2018-02-16 13:07:28.185000;92.62.225.163;332163;F;40;uni;white;7;8510203150012;3;11360116170403;FALSE;45.6419999599457
2018-02-16 13:07:28.185000;92.62.225.163;332163;F;40;uni;white;8;10150425165030;3;10150425165030;TRUE;20.7190001010895
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;1;8061205130408;1;7310204160105;FALSE;45.4520001411438
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;2;8100303170706;2;8100303170706;TRUE;28.7519998550415
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;3;10301206130703;0;12590531130403;FALSE;43.2239999771118
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;4;13430524130707;2;13430524130707;TRUE;53.2050001621246
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;5;8121007141903;0;8121007141903;TRUE;40.1169998645782
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;6;8300518161902;0;8300518161902;TRUE;35.4850001335144
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;7;8510203150012;3;8510203150012;TRUE;37.0059998035431
2018-02-16 13:21:19.129000;82.208.43.114;11096;M;60;uni;white;8;10150425165030;0;10150425165030;TRUE;33.3010001182556
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;1;8061205130408;3;8061205130408;TRUE;25.180999994278
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;2;8100303170706;0;8100303170706;TRUE;15.5230000019073
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;3;10301206130703;0;8240130170012;FALSE;45.6009998321533
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;4;13430524130707;0;13430524130707;TRUE;31.5329999923706
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;5;8121007141903;3;11031005161420;FALSE;36.1800000667572
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;6;8300518161902;0;8300518161902;TRUE;23.5329999923706
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;7;8510203150012;1;16210212111703;FALSE;34.2820000648499
2018-02-16 13:24:43.489000;92.62.225.163;701955;M;40;high;-;8;10150425165030;3;10150425165030;TRUE;32.8970000743866
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;1;8061205130408;1;8220803160703;FALSE;43.6480000019073
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;2;8100303170706;2;8100303170706;TRUE;66.3789999485016
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;3;10301206130703;1;10301206130703;TRUE;59.7749998569489
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;4;13430524130707;0;13430524130707;TRUE;48.2910001277924
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;5;8121007141903;0;8121007141903;TRUE;41.3699998855591
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;6;8300518161902;0;8300518161902;TRUE;26.8259999752045
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;7;8510203150012;0;14330422141902;FALSE;33.4150002002716
2018-02-16 13:25:37.153000;78.128.206.53;482545;F;40;uni;white;8;10150425165030;2;10150223170602;FALSE;35.3809998035431
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;1;8061205130408;2;8220803160703;FALSE;163.012000083923
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;2;8100303170706;0;8100303170706;TRUE;75.7579998970032
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;3;10301206130703;0;10301206130703;TRUE;61.9270000457764
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;4;13430524130707;0;12540308170707;FALSE;31334.8789999485
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;5;8121007141903;1;8121007141903;TRUE;59.8200001716614
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;6;8300518161902;1;12280421160602;FALSE;63.9570000171661
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;7;8510203150012;0;8510203150012;TRUE;69.5739998817444
2018-02-16 13:36:41.261000;195.113.149.162;833926;M;40;uni;white;8;10150425165030;3;10150425165030;TRUE;70.8420000076294
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;1;8061205130408;2;8061205130408;TRUE;94.5479998588562
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;2;8100303170706;2;8220803160703;FALSE;105.059000015259
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;3;10301206130703;0;12590531130403;FALSE;79.960000038147
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;4;13430524130707;0;10470306170115;FALSE;83.0720000267029
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;5;8121007141903;2;8121007141903;TRUE;130.473999977112
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;6;8300518161902;0;13070921160103;FALSE;62.6029999256134
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;7;8510203150012;0;14520422080113;FALSE;72.1170001029968
2018-02-16 13:40:52.259000;110.78.145.96;273427;F;30;high;white;8;10150425165030;3;21480920161405;FALSE;81.7520000934601
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;1;8061205130408;0;8061205130408;TRUE;40.2320001125336
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;2;8100303170706;3;8100303170706;TRUE;58.8669998645782
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;3;10301206130703;2;10301206130703;TRUE;35.5540001392365
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;4;13430524130707;0;10470306170115;FALSE;37.5829999446869
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;5;8121007141903;2;8121007141903;TRUE;32.4649999141693
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;6;8300518161902;0;8300518161902;TRUE;22.9340000152588
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;7;8510203150012;0;14330422141902;FALSE;57.0099999904633
2018-02-16 13:41:22.185000;110.78.145.96;685432;M;40;uni;white;8;10150425165030;1;10150425165030;TRUE;21.8389999866486
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;1;8061205130408;0;8061205130408;TRUE;80.2330000400543
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;2;8100303170706;3;14260126110014;FALSE;40.0099999904633
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;3;10301206130703;3;15120516060012;FALSE;81.2119998931885
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;4;13430524130707;1;13430524130707;TRUE;77.9279999732971
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;5;8121007141903;0;8121007141903;TRUE;42.393000125885
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;6;8300518161902;1;8300518161902;TRUE;48.550999879837
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;7;8510203150012;0;8510203150012;TRUE;77.7179999351501
2018-02-16 13:49:02.450000;193.111.131.22;924130;F;60;high;white;8;10150425165030;0;8300518161902;FALSE;58.4860000610352
2018-02-16 13:53:55.589000;213.192.12.13;470797;F;70;bachelor;white;1;8061205130408;0;8100303170706;FALSE;66.7579998970032
